latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.7923,-8.29981,296.6,0.49,0.4,2023-03-02,251,N,VIIRS,n,2,271.21,0.62,N,0
37.17454,-6.89356,296.01,0.46,0.47,2023-03-02,252,N,VIIRS,n,2,278.4,1.35,N,0
37.90454,-8.65513,332.25,0.56,0.69,2023-03-02,1233,N,VIIRS,n,2,292.89,3.01,D,0
37.90563,-8.65808,326.84,0.56,0.69,2023-03-02,1233,N,VIIRS,n,2,292.11,6.39,D,0
39.85726,-7.17331,356.14,0.42,0.61,2023-03-02,1233,N,VIIRS,n,2,293.42,5.31,D,0
39.87224,-7.8931,337.6,0.45,0.63,2023-03-02,1233,N,VIIRS,n,2,284.36,4.51,D,0
40.10276,-8.15319,356.68,0.46,0.64,2023-03-02,1233,N,VIIRS,n,2,286.72,10.51,D,0
40.10403,-8.14885,345.78,0.46,0.63,2023-03-02,1233,N,VIIRS,n,2,285.4,12.67,D,0
40.25938,-7.61125,343.54,0.43,0.62,2023-03-02,1233,N,VIIRS,n,2,289.2,4.14,D,0
40.2618,-7.7109,349.13,0.43,0.62,2023-03-02,1233,N,VIIRS,n,2,293.05,31.78,D,0
40.26351,-7.70492,357.23,0.43,0.62,2023-03-02,1233,N,VIIRS,l,2,289.41,40.34,D,0
40.43824,-7.55302,351.34,0.42,0.61,2023-03-02,1233,N,VIIRS,n,2,288.03,5.61,D,0
40.4427,-7.55883,341.76,0.42,0.61,2023-03-02,1233,N,VIIRS,n,2,285.41,15.69,D,0
40.4439,-7.55457,357.28,0.42,0.61,2023-03-02,1233,N,VIIRS,l,2,289.39,15.69,D,0
40.48665,-7.31628,342.1,0.41,0.61,2023-03-02,1233,N,VIIRS,n,2,286.69,3.42,D,0
37.15452,-6.50812,345.94,0.39,0.59,2023-03-02,1413,N,VIIRS,n,2,291.55,6.56,D,0
37.15477,-6.50363,349.69,0.39,0.59,2023-03-02,1413,N,VIIRS,n,2,297.71,9.16,D,0
38.42102,-6.20015,326.69,0.42,0.61,2023-03-02,1413,N,VIIRS,n,2,292.07,1.51,D,0
39.85839,-7.17433,330.41,0.38,0.59,2023-03-02,1414,N,VIIRS,n,2,293.03,2.26,D,0
39.85894,-7.17546,329.05,0.38,0.59,2023-03-02,1414,N,VIIRS,n,2,292.55,1.92,D,0
40.43923,-7.552,330,0.37,0.58,2023-03-02,1414,N,VIIRS,n,2,288.82,2.93,D,0
40.44429,-7.55851,328.29,0.37,0.58,2023-03-02,1414,N,VIIRS,n,2,286.25,5.3,D,0
40.97821,-7.84261,341.34,0.36,0.57,2023-03-02,1414,N,VIIRS,n,2,289.49,3.57,D,0
40.98054,-7.84278,329.28,0.36,0.57,2023-03-02,1414,N,VIIRS,n,2,284.95,3.1,D,0
41.1077,-8.19213,333.7,0.34,0.56,2023-03-02,1414,N,VIIRS,n,2,290.45,2.52,D,0
41.11288,-8.19368,356.24,0.34,0.56,2023-03-02,1414,N,VIIRS,n,2,287.4,5.06,D,0
41.11312,-8.18934,330.36,0.34,0.56,2023-03-02,1414,N,VIIRS,n,2,286.51,5.8,D,0
41.15095,-8.07781,335.12,0.35,0.57,2023-03-02,1414,N,VIIRS,n,2,289.47,2.71,D,0
41.15119,-8.07346,328.96,0.35,0.57,2023-03-02,1414,N,VIIRS,n,2,289.67,2.71,D,0
41.35242,-8.32158,367,0.34,0.56,2023-03-02,1414,N,VIIRS,h,2,295.08,6.39,D,0
41.7299,-7.3176,328.5,0.38,0.59,2023-03-02,1414,N,VIIRS,n,2,286.11,1.9,D,0
40.28902,-8.41835,295.4,0.39,0.36,2023-03-03,232,N,VIIRS,n,2,276.84,0.39,N,2
41.93887,-8.4529,302.41,0.38,0.36,2023-03-03,232,N,VIIRS,n,2,274.77,0.85,N,0
37.18563,-6.90314,305.59,0.43,0.38,2023-03-03,233,N,VIIRS,n,2,279.99,0.92,N,0
37.95757,-8.8037,296.12,0.39,0.36,2023-03-03,233,N,VIIRS,n,2,282.01,1.24,N,2
38.30234,-6.68332,298.66,0.43,0.38,2023-03-03,233,N,VIIRS,n,2,271.29,0.73,N,0
38.50143,-8.9376,307.95,0.39,0.36,2023-03-03,233,N,VIIRS,n,2,278.75,1.13,N,2
40.45823,-7.54323,327.87,0.71,0.75,2023-03-03,1215,N,VIIRS,n,2,287.11,6.14,D,0
40.46545,-7.54462,354.65,0.71,0.75,2023-03-03,1215,N,VIIRS,n,2,303.66,212.22,D,0
41.78125,-7.84534,344.36,0.66,0.73,2023-03-03,1215,N,VIIRS,n,2,301.99,57.67,D,0
41.78207,-7.84755,341.06,0.66,0.73,2023-03-03,1215,N,VIIRS,n,2,294.12,78.42,D,0
41.78397,-7.83718,333.6,0.66,0.73,2023-03-03,1215,N,VIIRS,n,2,281.42,57.67,D,0
41.78491,-7.83919,351.5,0.66,0.73,2023-03-03,1215,N,VIIRS,n,2,281.43,64.08,D,0
42.10845,-8.05695,356.71,0.66,0.73,2023-03-03,1215,N,VIIRS,n,2,285.15,14.81,D,0
42.1103,-8.05901,356.18,0.66,0.73,2023-03-03,1215,N,VIIRS,n,2,283.43,16.05,D,0
39.87304,-7.8926,348.12,0.39,0.44,2023-03-03,1355,N,VIIRS,n,2,292.63,10.09,D,0
40.26706,-7.74878,333.27,0.4,0.45,2023-03-03,1355,N,VIIRS,n,2,288.17,3.74,D,0
40.46482,-7.53369,340.95,0.42,0.45,2023-03-03,1355,N,VIIRS,n,2,293.24,59.56,D,0
40.46894,-7.53476,334.73,0.42,0.45,2023-03-03,1355,N,VIIRS,n,2,304.34,59.56,D,0
40.4802,-7.3216,340.26,0.43,0.46,2023-03-03,1355,N,VIIRS,n,2,292.75,4.04,D,0
40.48437,-7.32275,341.81,0.43,0.46,2023-03-03,1355,N,VIIRS,n,2,293.76,6.58,D,0
40.64498,-7.06329,330.82,0.44,0.46,2023-03-03,1355,N,VIIRS,n,2,292.31,3.1,D,0
41.69226,-7.23505,325.59,0.44,0.46,2023-03-03,1355,N,VIIRS,n,2,289.56,4.17,D,0
41.69385,-7.23281,330.03,0.44,0.46,2023-03-03,1355,N,VIIRS,n,2,289.56,3.52,D,0
41.69451,-6.57922,340.22,0.48,0.48,2023-03-03,1355,N,VIIRS,n,2,290.87,5.35,D,0
41.75539,-7.66331,329.91,0.42,0.45,2023-03-03,1355,N,VIIRS,n,2,288.65,3.3,D,0
41.7778,-7.842,336.79,0.42,0.45,2023-03-03,1355,N,VIIRS,n,2,290.45,6.41,D,0
41.81386,-7.62817,340.55,0.43,0.46,2023-03-03,1355,N,VIIRS,n,2,292.39,10.12,D,0
41.89288,-8.41746,332.12,0.39,0.44,2023-03-03,1355,N,VIIRS,n,2,293.62,4.58,D,0
41.93859,-8.45158,341.48,0.39,0.44,2023-03-03,1355,N,VIIRS,n,2,292.6,4.37,D,0
41.98195,-8.42895,348.61,0.39,0.44,2023-03-03,1355,N,VIIRS,n,2,294.61,19.71,D,0
41.98607,-8.42899,355.75,0.39,0.44,2023-03-03,1355,N,VIIRS,l,2,285.88,14.31,D,0
42.15528,-7.04354,327.79,0.46,0.47,2023-03-03,1355,N,VIIRS,n,2,288.77,2.88,D,0
41.40369,-7.81091,309.01,0.45,0.39,2023-03-04,213,N,VIIRS,n,2,272.22,1.18,N,0
41.65023,-7.76726,305.34,0.45,0.39,2023-03-04,213,N,VIIRS,n,2,274.01,1.16,N,0
41.70681,-7.86517,307.57,0.46,0.39,2023-03-04,213,N,VIIRS,n,2,272.61,1.29,N,0
41.72449,-7.98294,299.18,0.46,0.39,2023-03-04,213,N,VIIRS,n,2,275.76,0.74,N,0
41.75775,-8.37974,300.95,0.48,0.4,2023-03-04,213,N,VIIRS,n,2,275.78,1.06,N,0
41.7592,-8.37789,326.46,0.48,0.4,2023-03-04,213,N,VIIRS,n,2,277.99,2.93,N,0
41.75985,-8.38353,307.25,0.48,0.4,2023-03-04,213,N,VIIRS,n,2,276.65,2.93,N,0
41.79404,-8.25687,315.83,0.47,0.4,2023-03-04,213,N,VIIRS,n,2,274.41,1.06,N,0
41.79771,-8.25621,300.39,0.47,0.4,2023-03-04,213,N,VIIRS,n,2,273.59,1.06,N,0
41.85881,-8.37542,322.02,0.48,0.4,2023-03-04,213,N,VIIRS,n,2,275.11,2.11,N,0
41.85999,-8.36986,310.66,0.48,0.4,2023-03-04,213,N,VIIRS,n,2,274.87,2.47,N,0
41.8607,-8.37587,326.64,0.48,0.4,2023-03-04,213,N,VIIRS,n,2,276.41,2.47,N,0
41.8625,-8.37478,324.69,0.48,0.4,2023-03-04,213,N,VIIRS,n,2,276.27,2,N,0
41.86258,-7.74489,305.34,0.46,0.39,2023-03-04,213,N,VIIRS,n,2,270.71,1.74,N,0
37.95818,-8.80488,295.55,0.46,0.39,2023-03-04,214,N,VIIRS,n,2,283,1.3,N,2
40.22137,-6.01917,335.89,0.45,0.39,2023-03-04,1336,N,VIIRS,n,2,291.48,3.87,D,0
40.22852,-6.02065,332.76,0.45,0.39,2023-03-04,1336,N,VIIRS,n,2,296.86,3.19,D,0
40.82516,-8.34884,347.74,0.4,0.37,2023-03-04,1336,N,VIIRS,n,2,296.19,13.54,D,0
41.12493,-8.25283,327.03,0.4,0.37,2023-03-04,1336,N,VIIRS,n,2,292.58,4.09,D,0
41.12559,-8.24798,331.39,0.4,0.37,2023-03-04,1336,N,VIIRS,n,2,294.51,5.49,D,0
41.24599,-8.33414,350.34,0.4,0.37,2023-03-04,1336,N,VIIRS,n,2,299.79,35.44,D,0
41.24943,-8.35956,330.97,0.4,0.37,2023-03-04,1336,N,VIIRS,n,2,294.26,4.13,D,0
