latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.68649,-8.90664,304.54,0.39,0.36,2023-08-10,232,N,VIIRS,n,2,292.35,0.99,N,2
37.98323,-8.81627,317.63,0.39,0.36,2023-08-10,233,N,VIIRS,n,2,290.31,1.02,N,0
38.62867,-9.07949,305.13,0.39,0.36,2023-08-10,233,N,VIIRS,n,2,293.24,0.9,N,2
37.63829,-6.92205,367,0.79,0.78,2023-08-10,1214,N,VIIRS,h,2,312.63,28.51,D,0
37.63916,-6.9226,355.54,0.79,0.78,2023-08-10,1214,N,VIIRS,n,2,314.91,39.04,D,0
37.64132,-6.91281,343.73,0.79,0.78,2023-08-10,1214,N,VIIRS,n,2,304.23,42.44,D,0
37.64222,-6.91342,345.9,0.79,0.78,2023-08-10,1214,N,VIIRS,n,2,304.79,39.04,D,0
37.64484,-6.92637,351.74,0.79,0.78,2023-08-10,1214,N,VIIRS,n,2,305.47,28.51,D,0
41.65187,-6.58524,352.2,0.58,0.7,2023-08-10,1215,N,VIIRS,n,2,304.18,18.62,D,0
41.65231,-6.58398,367,0.58,0.7,2023-08-10,1215,N,VIIRS,h,2,304.78,18.63,D,0
41.65389,-6.57891,367,0.58,0.7,2023-08-10,1215,N,VIIRS,h,2,304.99,18.62,D,0
41.65428,-6.5777,367,0.58,0.7,2023-08-10,1215,N,VIIRS,h,2,303,24.22,D,0
41.65812,-6.58791,356.05,0.58,0.7,2023-08-10,1215,N,VIIRS,n,2,302.34,23.73,D,0
41.66018,-6.58148,367,0.58,0.7,2023-08-10,1215,N,VIIRS,h,2,296.67,23.73,D,0
37.64152,-6.9292,348.35,0.42,0.45,2023-08-10,1354,N,VIIRS,l,2,321.54,9.18,D,0
37.64196,-6.92453,346.71,0.42,0.45,2023-08-10,1354,N,VIIRS,l,2,321.02,9.18,D,0
41.6497,-6.57384,334.65,0.48,0.48,2023-08-10,1355,N,VIIRS,n,2,308.48,4.65,D,0
41.65367,-6.58077,351.57,0.48,0.48,2023-08-10,1355,N,VIIRS,n,2,316.94,22.97,D,0
41.65416,-6.57455,367,0.48,0.48,2023-08-10,1355,N,VIIRS,h,2,369.66,183.7,D,0
41.65464,-6.56857,349.66,0.48,0.48,2023-08-10,1355,N,VIIRS,n,2,307.85,183.7,D,0
41.65764,-6.58765,343.35,0.48,0.48,2023-08-10,1355,N,VIIRS,n,2,312.01,22.97,D,0
41.65812,-6.5816,367,0.48,0.48,2023-08-10,1355,N,VIIRS,h,2,320.47,22.97,D,0
41.65863,-6.57528,367,0.48,0.48,2023-08-10,1355,N,VIIRS,l,2,338.87,183.7,D,0
41.65912,-6.56904,348.95,0.48,0.48,2023-08-10,1355,N,VIIRS,n,2,301.96,183.7,D,0
41.66258,-6.58237,352.67,0.48,0.48,2023-08-10,1355,N,VIIRS,n,2,309.05,14.79,D,0
41.66309,-6.57603,351.17,0.48,0.48,2023-08-10,1355,N,VIIRS,n,2,307.97,43.37,D,0
