latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.17749,-8.11373,297.95,0.53,0.42,2023-05-26,206,N20,VIIRS,n,2,284.76,0.49,N,0
38.50051,-8.93769,301.05,0.54,0.42,2023-05-26,207,N20,VIIRS,n,2,287.08,1.41,N,2
38.92182,-9.00852,315.88,0.55,0.43,2023-05-26,207,N20,VIIRS,n,2,290.44,2.75,N,2
37.95697,-8.8018,298.21,0.62,0.54,2023-05-27,148,N20,VIIRS,n,2,286.81,1.55,N,2
38.92322,-9.01087,311.9,0.32,0.55,2023-05-27,148,N20,VIIRS,n,2,287.03,0.94,N,2
40.28793,-8.41858,297.74,0.51,0.66,2023-05-27,328,N20,VIIRS,n,2,283.49,0.7,N,2
37.95854,-8.80456,296.69,0.56,0.69,2023-05-28,129,N20,VIIRS,n,2,286.01,1.13,N,2
38.50253,-8.9359,298.52,0.58,0.7,2023-05-28,129,N20,VIIRS,n,2,283.59,1.27,N,2
38.92089,-9.01138,305.86,0.59,0.53,2023-05-28,309,N20,VIIRS,n,2,285.99,2.14,N,2
37.95774,-8.80148,299.23,0.32,0.55,2023-05-28,310,N20,VIIRS,n,2,288.37,0.97,N,2
38.92135,-9.01234,308.18,0.59,0.53,2023-05-28,310,N20,VIIRS,n,2,285.75,1.22,N,2
38.50376,-8.93736,301.44,0.53,0.42,2023-05-29,251,N20,VIIRS,n,2,284.67,1.22,N,2
38.92252,-9.01221,310.69,0.52,0.41,2023-05-29,251,N20,VIIRS,n,2,285.65,1.17,N,2
38.50025,-8.93543,300.02,0.39,0.36,2023-05-30,232,N20,VIIRS,n,2,285.57,0.74,N,2
38.50352,-8.93455,308.46,0.39,0.36,2023-05-30,232,N20,VIIRS,n,2,286.48,0.9,N,2
38.62195,-9.07391,296.66,0.39,0.36,2023-05-30,232,N20,VIIRS,n,2,286.16,0.49,N,0
