latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.35865,-6.67582,295.59,0.35,0.57,2023-06-10,136,N,VIIRS,n,2,285.27,0.53,N,2
37.35922,-6.67424,295.55,0.35,0.56,2023-06-10,136,N,VIIRS,n,2,285.37,1.09,N,2
39.68619,-8.90769,297.79,0.39,0.44,2023-06-11,257,N,VIIRS,n,2,286.11,0.76,N,2
40.28797,-8.4222,296.58,0.4,0.44,2023-06-11,257,N,VIIRS,n,2,285.2,0.9,N,2
38.32205,-6.71867,297.04,0.54,0.51,2023-06-11,258,N,VIIRS,n,2,283.09,0.56,N,0
38.6291,-9.08024,306.19,0.41,0.45,2023-06-11,258,N,VIIRS,n,2,287.72,1.02,N,2
38.50253,-8.93641,307.53,0.41,0.37,2023-06-12,239,N,VIIRS,n,2,288.91,1.52,N,2
38.92157,-9.01148,299.16,0.4,0.37,2023-06-12,239,N,VIIRS,n,2,287.11,1.04,N,2
38.50074,-8.93421,303.68,0.41,0.37,2023-06-13,220,N,VIIRS,n,2,288.43,0.77,N,2
38.92175,-9.01152,301.3,0.42,0.38,2023-06-13,220,N,VIIRS,n,2,290.21,1.19,N,2
38.38032,-6.48173,298.36,0.49,0.41,2023-06-14,201,N,VIIRS,n,2,287.34,0.64,N,0
38.50145,-8.93815,299.26,0.43,0.46,2023-06-14,201,N,VIIRS,n,2,288.35,0.58,N,2
