latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.50337,-8.93478,305.57,0.41,0.37,2023-01-27,237,N20,VIIRS,n,2,280.15,1.04,N,2
40.28738,-8.41895,304.86,0.41,0.37,2023-01-27,237,N20,VIIRS,n,2,274.71,1.04,N,0
37.17129,-8.64586,296.09,0.43,0.38,2023-01-27,238,N20,VIIRS,n,2,273.97,0.62,N,0
37.95384,-8.79697,295.83,0.42,0.38,2023-01-27,238,N20,VIIRS,n,2,275.45,0.53,N,2
40.83962,-8.14605,329.54,0.47,0.48,2023-01-27,1400,N20,VIIRS,n,2,281.58,1.25,D,0
40.84325,-8.14875,339.71,0.48,0.48,2023-01-27,1400,N20,VIIRS,n,2,283.02,5.22,D,0
40.84406,-8.14635,332.63,0.47,0.48,2023-01-27,1400,N20,VIIRS,n,2,280.4,3.73,D,0
41.72933,-7.98262,327.57,0.5,0.49,2023-01-27,1400,N20,VIIRS,n,2,280.78,2.59,D,0
38.37842,-6.48422,296.51,0.38,0.36,2023-01-28,219,N20,VIIRS,n,2,272.5,0.65,N,2
38.50092,-8.93854,297.81,0.41,0.37,2023-01-28,219,N20,VIIRS,n,2,278.4,0.98,N,2
36.74221,-6.32327,342.7,0.47,0.39,2023-01-28,1340,N20,VIIRS,n,2,291.63,13.18,D,0
37.95043,-8.79478,327.24,0.4,0.37,2023-01-28,1340,N20,VIIRS,n,2,287.61,0.43,D,0
38.13127,-7.55523,329.28,0.44,0.38,2023-01-28,1340,N20,VIIRS,n,2,288.38,8.45,D,0
41.25164,-8.36387,325.99,0.44,0.38,2023-01-28,1341,N20,VIIRS,n,2,287.1,2.16,D,0
37.18029,-6.89018,314.81,0.5,0.41,2023-01-29,200,N20,VIIRS,n,2,278.74,1.87,N,0
37.95269,-8.79867,309.55,0.42,0.45,2023-01-29,200,N20,VIIRS,n,2,276.52,1.79,N,0
38.62873,-9.08041,299,0.44,0.46,2023-01-29,200,N20,VIIRS,n,2,278.41,0.75,N,2
38.92204,-9.01055,295.27,0.44,0.46,2023-01-29,200,N20,VIIRS,n,2,280.01,0.6,N,2
39.04133,-9.20339,327.98,0.42,0.38,2023-01-29,1321,N20,VIIRS,n,2,284.13,4.49,D,0
40.94448,-8.0412,325.01,0.39,0.36,2023-01-29,1322,N20,VIIRS,n,2,289.82,8.11,D,0
40.94523,-8.03659,331.16,0.39,0.36,2023-01-29,1322,N20,VIIRS,n,2,286.23,8.11,D,0
40.94777,-8.04201,339.69,0.39,0.36,2023-01-29,1322,N20,VIIRS,n,2,290.58,5.57,D,0
40.95107,-8.04282,331.3,0.39,0.36,2023-01-29,1322,N20,VIIRS,n,2,292.38,5.57,D,0
37.95397,-8.79987,297.07,0.38,0.59,2023-01-30,141,N20,VIIRS,n,2,278.25,0.79,N,2
37.95422,-8.80428,298.11,0.38,0.59,2023-01-30,141,N20,VIIRS,n,2,277.62,0.79,N,2
38.50436,-8.93821,295.27,0.39,0.59,2023-01-30,141,N20,VIIRS,n,2,276.35,0.62,N,2
37.95342,-8.79758,307.75,0.47,0.64,2023-01-30,321,N20,VIIRS,n,2,276.77,0.96,N,2
39.36161,-7.14247,333.88,0.53,0.42,2023-01-30,1303,N20,VIIRS,n,2,284.4,3.24,D,0
40.05119,-8.26173,329.69,0.57,0.43,2023-01-30,1303,N20,VIIRS,n,2,286.73,7.66,D,0
