latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.50121,-8.93627,308.18,0.52,0.5,2023-05-16,154,N20,VIIRS,n,2,287.52,1.51,N,2
38.92326,-9.0129,301.23,0.53,0.5,2023-05-16,154,N20,VIIRS,n,2,286.18,0.76,N,2
37.34033,-6.58697,297.19,0.57,0.43,2023-05-16,155,N20,VIIRS,n,2,286.05,0.32,N,0
37.95804,-8.80128,299.48,0.5,0.49,2023-05-16,155,N20,VIIRS,n,2,289.19,1.68,N,2
38.92235,-9.013,298.28,0.62,0.72,2023-05-16,334,N20,VIIRS,n,2,284.16,1.25,N,2
38.92331,-9.0114,304.68,0.48,0.65,2023-05-17,135,N20,VIIRS,n,2,286.96,1.3,N,2
40.28939,-8.41792,299.42,0.35,0.57,2023-05-17,315,N20,VIIRS,n,2,287.01,0.87,N,2
40.29092,-8.41759,298.8,0.35,0.57,2023-05-17,315,N20,VIIRS,n,2,287.77,0.46,N,2
41.72856,-8.25176,297.86,0.33,0.55,2023-05-17,315,N20,VIIRS,n,2,282.44,0.52,N,0
38.62888,-9.0778,305.09,0.36,0.57,2023-05-17,316,N20,VIIRS,n,2,288.63,0.67,N,2
41.35551,-8.36589,342.53,0.43,0.46,2023-05-17,1258,N20,VIIRS,n,2,305.93,9.57,D,0
40.3635,-7.97378,334.72,0.77,0.77,2023-05-17,1438,N20,VIIRS,n,2,296.41,4.53,D,0
40.36875,-7.96988,334.77,0.77,0.77,2023-05-17,1438,N20,VIIRS,n,2,296.61,4.82,D,0
40.30352,-6.34646,315.34,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,283.86,6.89,N,0
40.30362,-6.35382,350.13,0.64,0.72,2023-05-18,116,N20,VIIRS,n,2,284.8,6.89,N,0
40.30681,-6.33909,310.87,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,283.66,19.53,N,0
40.30694,-6.34576,353.84,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,293.24,19.53,N,0
40.30707,-6.35278,355.69,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,296.68,25.16,N,0
40.30721,-6.35985,319.99,0.64,0.72,2023-05-18,116,N20,VIIRS,n,2,283.46,25.16,N,0
40.3101,-6.3382,321.44,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,285.36,5.71,N,0
40.3102,-6.3447,355.16,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,297.78,27.53,N,0
40.31029,-6.35151,351.01,0.64,0.72,2023-05-18,116,N20,VIIRS,n,2,305.65,27.53,N,0
40.31039,-6.35846,340,0.64,0.72,2023-05-18,116,N20,VIIRS,n,2,283.54,29.68,N,0
40.31349,-6.33794,312.99,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,284.63,21.27,N,0
40.31361,-6.34427,343.86,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,289.4,21.27,N,0
40.31373,-6.35085,367,0.63,0.72,2023-05-18,116,N20,VIIRS,h,2,294.96,16.19,N,0
40.31386,-6.35739,322.58,0.64,0.72,2023-05-18,116,N20,VIIRS,n,2,282.94,16.19,N,0
40.31657,-6.32209,308.16,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,283.44,3.09,N,0
40.31668,-6.33014,321.54,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,283.93,5.71,N,0
40.31679,-6.33788,298.08,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,283.49,5.71,N,0
40.31698,-6.35071,301.74,0.64,0.72,2023-05-18,116,N20,VIIRS,n,2,282.38,27.53,N,0
40.31985,-6.3212,317.34,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,284.32,33.98,N,0
40.32001,-6.32932,337.37,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,299.7,33.98,N,0
40.32018,-6.33802,367,0.63,0.72,2023-05-18,116,N20,VIIRS,h,2,284.91,21.27,N,0
40.32323,-6.31978,300.55,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,283.09,14.19,N,0
40.32335,-6.3277,339.93,0.63,0.72,2023-05-18,116,N20,VIIRS,n,2,296.03,35.77,N,0
40.32348,-6.33734,367,0.63,0.72,2023-05-18,116,N20,VIIRS,h,2,284.95,35.77,N,0
40.30717,-6.34764,350.6,0.52,0.5,2023-05-18,256,N20,VIIRS,n,2,296.79,9.56,N,0
40.3087,-6.3539,355.61,0.52,0.5,2023-05-18,256,N20,VIIRS,n,2,297.79,15.16,N,0
40.31009,-6.33991,321.36,0.52,0.5,2023-05-18,256,N20,VIIRS,n,2,284.33,9.56,N,0
40.31026,-6.36023,335.17,0.51,0.5,2023-05-18,256,N20,VIIRS,n,2,285.58,15.16,N,0
40.31168,-6.34639,328.56,0.52,0.5,2023-05-18,256,N20,VIIRS,n,2,288.63,9.56,N,0
40.31174,-6.3663,336.74,0.51,0.5,2023-05-18,256,N20,VIIRS,n,2,282.08,4.68,N,0
