latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.95748,-8.80393,301.11,0.37,0.58,2023-07-25,142,N20,VIIRS,n,2,290.71,1.43,N,2
37.99245,-8.8153,331.79,0.44,0.46,2023-07-25,1304,N20,VIIRS,n,2,301.35,2.76,D,0
39.91402,-8.44043,330.94,0.39,0.44,2023-07-25,1304,N20,VIIRS,n,2,303.73,1.85,D,0
40.25092,-8.42136,333.9,0.57,0.43,2023-07-25,1304,N20,VIIRS,n,2,303.51,2.54,D,0
40.25354,-8.42351,333.44,0.57,0.43,2023-07-25,1304,N20,VIIRS,n,2,302.53,4.56,D,0
40.6339,-8.51493,343.28,0.56,0.43,2023-07-25,1304,N20,VIIRS,n,2,305.74,21.92,D,0
41.77032,-8.36252,304.84,0.67,0.73,2023-07-26,122,N20,VIIRS,n,2,286.42,0.66,N,0
41.77148,-8.36278,307.7,0.67,0.73,2023-07-26,122,N20,VIIRS,n,2,286.45,1.44,N,0
38.72293,-9.4333,300.93,0.74,0.76,2023-07-26,123,N20,VIIRS,n,2,289.41,1.38,N,0
39.68504,-8.90816,303.13,0.48,0.48,2023-07-26,303,N20,VIIRS,n,2,288.23,1.49,N,2
38.74034,-9.42627,313.8,0.48,0.48,2023-07-26,304,N20,VIIRS,n,2,289.61,1.83,N,0
38.74463,-9.42475,315.92,0.48,0.48,2023-07-26,304,N20,VIIRS,n,2,289.66,1.83,N,0
37.42926,-8.2347,340.23,0.38,0.59,2023-07-26,1245,N20,VIIRS,n,2,309.78,33.34,D,0
37.43038,-8.23038,367,0.38,0.58,2023-07-26,1245,N20,VIIRS,h,2,319.54,42.86,D,0
37.4356,-8.23215,367,0.38,0.58,2023-07-26,1245,N20,VIIRS,h,2,312.22,42.86,D,0
37.42924,-8.2334,334.69,0.49,0.65,2023-07-26,1425,N20,VIIRS,l,2,308.36,2.05,D,0
37.43373,-8.23124,367,0.49,0.65,2023-07-26,1425,N20,VIIRS,h,2,317.48,19.41,D,0
37.43397,-8.22591,367,0.49,0.65,2023-07-26,1425,N20,VIIRS,h,2,316.29,19.41,D,0
37.43526,-8.23415,354.8,0.49,0.65,2023-07-26,1425,N20,VIIRS,n,2,318.51,45.67,D,0
37.43545,-8.22904,349.6,0.49,0.65,2023-07-26,1425,N20,VIIRS,n,2,321.76,36.26,D,0
37.43565,-8.22363,367,0.49,0.65,2023-07-26,1425,N20,VIIRS,h,2,310.07,36.26,D,0
37.44148,-8.22953,350.08,0.49,0.65,2023-07-26,1425,N20,VIIRS,n,2,325.01,36.26,D,0
37.44168,-8.22409,367,0.49,0.65,2023-07-26,1425,N20,VIIRS,h,2,316.25,36.26,D,0
37.44773,-8.22419,350.58,0.49,0.65,2023-07-26,1425,N20,VIIRS,n,2,309.67,12.77,D,0
37.44794,-8.21863,367,0.49,0.65,2023-07-26,1425,N20,VIIRS,h,2,306.31,10.79,D,0
41.67778,-8.44947,306,0.44,0.38,2023-07-27,244,N20,VIIRS,n,2,289.24,0.94,N,0
37.93941,-8.84558,305.49,0.48,0.4,2023-07-27,245,N20,VIIRS,n,2,289.72,0.95,N,0
37.93972,-8.84705,301.39,0.48,0.4,2023-07-27,245,N20,VIIRS,n,2,289.35,0.86,N,0
38.83765,-6.75754,310.97,0.57,0.43,2023-07-27,245,N20,VIIRS,n,2,292.74,1.54,N,0
38.83857,-6.75769,315.12,0.57,0.43,2023-07-27,245,N20,VIIRS,n,2,293,1.66,N,0
38.85668,-6.35841,351.06,0.39,0.44,2023-07-27,245,N20,VIIRS,n,2,303.26,18.02,N,0
37.38755,-6.2934,330.08,0.53,0.67,2023-07-27,1226,N20,VIIRS,l,2,304.66,2.1,D,0
37.93893,-8.84436,330.02,0.69,0.74,2023-07-27,1226,N20,VIIRS,n,2,297.22,2.97,D,0
38.74871,-7.14022,331.77,0.54,0.68,2023-07-27,1226,N20,VIIRS,n,2,301.6,4.54,D,0
38.85163,-6.355,343.4,0.49,0.65,2023-07-27,1226,N20,VIIRS,n,2,308.51,3.05,D,0
38.85722,-6.35778,334.51,0.49,0.65,2023-07-27,1226,N20,VIIRS,n,2,307.9,3.05,D,0
37.94175,-8.84658,337.26,0.5,0.49,2023-07-27,1406,N20,VIIRS,n,2,303.44,4.01,D,0
38.85438,-6.35703,350.4,0.35,0.57,2023-07-27,1407,N20,VIIRS,n,2,310.9,4.69,D,0
39.14878,-6.46795,343.25,0.35,0.56,2023-07-27,1407,N20,VIIRS,n,2,311.45,4.85,D,0
40.74699,-8.46804,306.57,0.39,0.36,2023-07-28,225,N20,VIIRS,n,2,285.83,0.54,N,0
37.13653,-8.10222,302.76,0.39,0.36,2023-07-28,226,N20,VIIRS,n,2,291.41,0.52,N,0
37.18398,-6.89577,304.97,0.4,0.37,2023-07-28,226,N20,VIIRS,n,2,293.12,1.3,N,0
38.50135,-8.9343,306.41,0.39,0.36,2023-07-28,226,N20,VIIRS,n,2,291.15,0.68,N,2
38.85633,-6.35891,323.46,0.4,0.37,2023-07-28,226,N20,VIIRS,n,2,292.06,2.17,N,0
39.75543,-8.7031,331.96,0.47,0.4,2023-07-28,1348,N20,VIIRS,n,2,300.04,1.27,D,0
41.44557,-7.66916,335.47,0.54,0.42,2023-07-28,1348,N20,VIIRS,n,2,303.33,4.03,D,0
37.95846,-8.8009,304.46,0.51,0.41,2023-07-29,207,N20,VIIRS,n,2,293.88,2.02,N,2
38.37783,-6.48161,303.5,0.43,0.38,2023-07-29,207,N20,VIIRS,n,2,293.04,0.49,N,2
38.50307,-8.93543,305.29,0.53,0.42,2023-07-29,207,N20,VIIRS,n,2,291.98,1.2,N,2
37.29229,-6.70307,320.44,0.42,0.38,2023-07-29,208,N20,VIIRS,n,2,296.25,8.3,N,0
37.29293,-6.70783,328.01,0.42,0.38,2023-07-29,208,N20,VIIRS,n,2,304.11,15.59,N,0
37.29637,-6.70711,305.89,0.42,0.38,2023-07-29,208,N20,VIIRS,n,2,294.82,15.59,N,0
