latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.87454,-8.2745,305.48,0.51,0.49,2023-04-06,155,N,VIIRS,n,2,278.4,0.77,N,0
41.87642,-7.90233,356.31,0.5,0.49,2023-04-06,155,N,VIIRS,n,2,274.84,9.95,N,0
37.17607,-6.89438,298.14,0.39,0.44,2023-04-06,156,N,VIIRS,n,2,284.73,1.43,N,0
41.87139,-7.90477,295.81,0.56,0.69,2023-04-06,335,N,VIIRS,n,2,273.71,3.53,N,0
41.87685,-7.89997,343.58,0.56,0.69,2023-04-06,335,N,VIIRS,n,2,275.81,3.53,N,0
41.87912,-7.90712,297.78,0.56,0.69,2023-04-06,335,N,VIIRS,n,2,273.94,6.7,N,0
38.92038,-9.00828,303.66,0.6,0.71,2023-04-06,336,N,VIIRS,n,2,285.49,1.86,N,3
38.27813,-6.14737,347.61,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,304.47,2.14,D,0
38.27888,-6.14291,347.9,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,307.06,2.14,D,0
38.27909,-6.15005,337.97,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,305.38,4.48,D,0
38.27939,-6.16888,354.1,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,306.03,2.82,D,0
38.27984,-6.14559,356.8,0.4,0.37,2023-04-06,1317,N,VIIRS,l,2,305.83,3.46,D,0
38.28015,-6.1644,356.87,0.4,0.37,2023-04-06,1317,N,VIIRS,l,2,305.96,7.32,D,0
38.28091,-6.15992,356.86,0.4,0.37,2023-04-06,1317,N,VIIRS,l,2,305.46,7.32,D,0
38.28166,-6.15545,356.87,0.4,0.37,2023-04-06,1317,N,VIIRS,l,2,305.96,4.48,D,0
38.28241,-6.15098,351.68,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,306.13,4.48,D,0
38.28271,-6.16982,355.22,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,307.72,11.06,D,0
38.28316,-6.14652,337.99,0.4,0.37,2023-04-06,1317,N,VIIRS,l,2,308.19,3.46,D,0
38.28347,-6.16534,356.56,0.4,0.37,2023-04-06,1317,N,VIIRS,l,2,305.49,4.79,D,0
38.28423,-6.16087,353.78,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,305.42,4.79,D,0
38.28498,-6.15639,347.06,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,307.45,2.62,D,0
38.28603,-6.17077,356.85,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,306.71,11.06,D,0
38.28679,-6.16629,339.59,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,305.39,4.79,D,0
38.28755,-6.1618,337.14,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,305.76,4.79,D,0
38.71423,-6.28165,351.1,0.4,0.37,2023-04-06,1317,N,VIIRS,n,2,311.35,7.71,D,0
39.3236,-7.44645,336.12,0.42,0.37,2023-04-06,1318,N,VIIRS,n,2,303.49,2.4,D,0
39.32699,-7.44746,341.7,0.42,0.37,2023-04-06,1318,N,VIIRS,n,2,302.17,2.69,D,0
41.30866,-8.27772,339.71,0.42,0.37,2023-04-06,1318,N,VIIRS,n,2,306.15,16.74,D,0
41.70803,-7.86109,346.07,0.41,0.37,2023-04-06,1318,N,VIIRS,n,2,301.19,6.19,D,0
41.72887,-7.80221,330.25,0.4,0.37,2023-04-06,1318,N,VIIRS,n,2,296.72,2.26,D,0
41.80528,-8.74438,331.29,0.42,0.38,2023-04-06,1318,N,VIIRS,n,2,300.19,2.57,D,0
41.83983,-7.91384,333.15,0.41,0.37,2023-04-06,1318,N,VIIRS,n,2,305.24,4.13,D,0
41.84068,-7.90897,367,0.41,0.37,2023-04-06,1318,N,VIIRS,h,2,343.85,99.61,D,0
41.84152,-7.90414,367,0.4,0.37,2023-04-06,1318,N,VIIRS,l,2,327.22,99.61,D,0
41.84488,-7.90511,339.13,0.4,0.37,2023-04-06,1318,N,VIIRS,n,2,294.72,97.15,D,0
41.87745,-7.90023,339.8,0.4,0.37,2023-04-06,1318,N,VIIRS,n,2,306.04,8.04,D,0
41.87826,-7.89555,345.51,0.4,0.37,2023-04-06,1318,N,VIIRS,n,2,303.56,8.04,D,0
41.88159,-7.89665,346.56,0.4,0.37,2023-04-06,1318,N,VIIRS,n,2,300.41,26.59,D,0
41.88398,-6.99121,350.37,0.39,0.36,2023-04-06,1318,N,VIIRS,n,2,308.97,20.66,D,0
