latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.84182,-8.66833,305.46,0.49,0.49,2023-07-10,303,N20,VIIRS,n,2,286.97,0.94,N,0
37.93948,-8.8434,303.91,0.53,0.5,2023-07-10,304,N20,VIIRS,n,2,289.98,0.82,N,0
37.33126,-6.77856,336.41,0.32,0.54,2023-07-10,1245,N20,VIIRS,l,2,310.04,1.84,D,0
38.57564,-6.93149,346.19,0.6,0.53,2023-07-10,1245,N20,VIIRS,l,2,321.12,14.37,D,0
39.12809,-8.60342,348.35,0.36,0.57,2023-07-10,1245,N20,VIIRS,n,2,309.33,7.29,D,0
41.32866,-6.17137,342.09,0.66,0.73,2023-07-10,1426,N20,VIIRS,n,2,308.85,4.28,D,0
41.32987,-6.17633,343.88,0.66,0.73,2023-07-10,1426,N20,VIIRS,n,2,309.78,8.09,D,0
37.21053,-6.12999,316.24,0.44,0.46,2023-07-11,245,N20,VIIRS,n,2,286,2.81,N,0
38.50382,-8.93619,303.2,0.46,0.39,2023-07-11,245,N20,VIIRS,n,2,291.66,1.54,N,2
38.57882,-6.93313,317.93,0.56,0.43,2023-07-11,245,N20,VIIRS,n,2,292.23,2.55,N,0
38.50317,-8.93563,301.47,0.39,0.36,2023-07-12,226,N20,VIIRS,n,2,278.52,1.03,N,2
38.99431,-6.12612,301.57,0.4,0.37,2023-07-12,226,N20,VIIRS,n,2,284.33,0.84,N,0
38.74436,-9.1637,337.25,0.44,0.39,2023-07-12,1348,N20,VIIRS,l,2,307.48,4.43,D,0
39.20544,-9.00429,335.56,0.45,0.39,2023-07-12,1348,N20,VIIRS,n,2,308.99,39.17,D,0
39.20898,-9.00515,346.07,0.45,0.39,2023-07-12,1348,N20,VIIRS,n,2,299.13,39.17,D,0
39.95195,-8.21872,333.27,0.49,0.41,2023-07-12,1348,N20,VIIRS,n,2,295.77,2.67,D,0
38.50216,-8.93434,307.71,0.53,0.42,2023-07-13,207,N20,VIIRS,n,2,291.62,1.63,N,2
39.16206,-9.00885,309.22,0.54,0.42,2023-07-13,207,N20,VIIRS,n,2,289,2.89,N,0
39.16272,-9.01522,348.6,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,300.15,40.35,N,0
39.16661,-9.01451,335.68,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,291.39,7.14,N,0
39.1705,-9.01379,346.06,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,292,7.14,N,0
39.17372,-9.00663,298.92,0.54,0.42,2023-07-13,207,N20,VIIRS,n,2,288.2,1.02,N,0
39.17439,-9.01302,349.34,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,293.15,6.22,N,0
39.17505,-9.0193,327.75,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,288.56,6.22,N,0
39.17827,-9.01224,299.02,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,288.07,6.22,N,0
39.1828,-9.0176,303.95,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,288.39,1.31,N,0
39.18603,-9.0106,311.51,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,287.62,1.31,N,0
39.18731,-9.0226,313.27,0.55,0.42,2023-07-13,207,N20,VIIRS,n,2,288.21,1.72,N,0
38.50143,-8.93826,303.03,0.62,0.54,2023-07-14,148,N20,VIIRS,n,2,292.33,1.67,N,2
