latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.95074,-8.80069,303.69,0.45,0.63,2023-11-17,135,N,VIIRS,n,2,285.71,0.57,N,2
37.35765,-6.67264,296,0.34,0.56,2023-11-17,136,N,VIIRS,n,2,283.7,0.58,N,0
37.56971,-8.73836,331.92,0.54,0.51,2023-11-17,1257,N,VIIRS,n,2,288.76,3.48,D,0
37.57422,-8.74012,339.5,0.54,0.51,2023-11-17,1257,N,VIIRS,n,2,288.16,7.53,D,0
37.90726,-6.27535,329.49,0.4,0.44,2023-11-17,1257,N,VIIRS,n,2,291.67,2.6,D,0
38.10132,-6.1807,325.53,0.39,0.44,2023-11-17,1257,N,VIIRS,n,2,289.28,2.02,D,0
37.54397,-8.11155,299.72,0.49,0.48,2023-11-18,257,N,VIIRS,n,2,282.37,0.65,N,0
37.95446,-8.79838,295.16,0.44,0.46,2023-11-18,257,N,VIIRS,n,2,284.93,0.9,N,2
38.03654,-6.56104,296.6,0.57,0.52,2023-11-18,257,N,VIIRS,n,2,284.17,0.77,N,0
38.03692,-6.56089,295.95,0.57,0.52,2023-11-18,257,N,VIIRS,n,2,284.21,0.68,N,0
38.49895,-8.93573,299.69,0.42,0.45,2023-11-18,257,N,VIIRS,n,2,286.7,0.72,N,2
38.50299,-8.93412,303.12,0.42,0.45,2023-11-18,257,N,VIIRS,n,2,287.49,0.74,N,2
38.92438,-7.8421,329.57,0.39,0.6,2023-11-18,1238,N,VIIRS,n,2,291.52,2.3,D,0
38.92451,-7.84279,328.01,0.39,0.6,2023-11-18,1238,N,VIIRS,n,2,291.5,1.7,D,0
41.21053,-6.74406,299.21,0.44,0.39,2023-11-19,237,N,VIIRS,n,2,279.65,0.71,N,0
37.95245,-8.7994,305.69,0.42,0.38,2023-11-19,238,N,VIIRS,n,2,287.12,0.68,N,2
37.95585,-8.79842,306,0.42,0.38,2023-11-19,238,N,VIIRS,n,2,286.99,1.24,N,2
38.5027,-8.93521,303.85,0.41,0.37,2023-11-19,238,N,VIIRS,n,2,287.31,1.12,N,2
38.92256,-9.01165,302.11,0.41,0.37,2023-11-19,238,N,VIIRS,n,2,285.69,0.8,N,2
37.95196,-8.79992,328.45,0.4,0.37,2023-11-20,219,N,VIIRS,n,2,285.15,1.79,N,2
37.95535,-8.79917,300.36,0.4,0.37,2023-11-20,219,N,VIIRS,n,2,285.41,1.79,N,2
38.37805,-6.48406,298.63,0.38,0.36,2023-11-20,219,N,VIIRS,n,2,283.5,0.64,N,2
38.5011,-8.93694,323.55,0.41,0.37,2023-11-20,219,N,VIIRS,n,2,287.47,2.52,N,2
38.50328,-8.93474,302.21,0.41,0.37,2023-11-20,219,N,VIIRS,n,2,284.93,0.67,N,2
38.92221,-9.01114,299.75,0.42,0.37,2023-11-20,219,N,VIIRS,n,2,286.16,0.89,N,2
38.28984,-6.74906,326.8,0.47,0.4,2023-11-20,1341,N,VIIRS,n,2,294.35,2.46,D,0
38.50064,-8.93382,303.35,0.42,0.46,2023-11-21,200,N,VIIRS,n,2,286.33,1.07,N,2
38.50109,-8.93845,302.63,0.42,0.46,2023-11-21,200,N,VIIRS,n,2,286.38,1.07,N,2
38.6291,-9.07845,298.7,0.43,0.46,2023-11-21,200,N,VIIRS,n,2,286.35,0.46,N,2
37.15949,-6.86043,326.07,0.39,0.36,2023-11-21,1322,N,VIIRS,n,2,294.35,1.49,D,0
37.73498,-6.81407,334.16,0.39,0.36,2023-11-21,1322,N,VIIRS,n,2,293.83,2.15,D,0
39.15611,-7.25927,330.73,0.39,0.36,2023-11-21,1322,N,VIIRS,n,2,289.45,2.79,D,0
40.74439,-6.459,326.13,0.39,0.36,2023-11-21,1323,N,VIIRS,n,2,285.74,2.37,D,0
