latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.50405,-8.94041,299.08,0.63,0.54,2023-10-18,147,N20,VIIRS,n,2,286.24,2.09,N,0
38.62886,-9.07991,301.05,0.32,0.55,2023-10-18,147,N20,VIIRS,n,2,287.74,0.49,N,2
38.92132,-9.0128,316.79,0.32,0.55,2023-10-18,147,N20,VIIRS,n,2,289.89,1.45,N,2
37.18418,-6.89626,308.9,0.48,0.48,2023-10-18,148,N20,VIIRS,n,2,289.58,0.95,N,0
38.62794,-9.08078,299.35,0.53,0.67,2023-10-18,328,N20,VIIRS,n,2,286.13,1.67,N,2
38.95725,-7.68687,345.45,0.48,0.4,2023-10-18,1309,N20,VIIRS,n,2,294.22,9.51,D,0
38.92082,-9.01191,305.02,0.52,0.41,2023-10-20,250,N20,VIIRS,n,2,286.71,1.22,N,3
38.50075,-8.93781,308.69,0.39,0.36,2023-10-21,231,N20,VIIRS,n,2,284.89,1.08,N,2
38.50403,-8.93693,306.17,0.39,0.36,2023-10-21,231,N20,VIIRS,n,2,284.08,0.85,N,2
38.6263,-9.07991,297.14,0.39,0.36,2023-10-21,231,N20,VIIRS,n,2,284.02,0.72,N,2
38.62957,-9.07904,296.04,0.39,0.36,2023-10-21,231,N20,VIIRS,n,2,285.76,0.47,N,2
