latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.44453,-8.11286,332.48,0.51,0.41,2023-05-21,251,N,VIIRS,n,2,285.79,7.47,N,0
38.91945,-9.00975,311.34,0.51,0.41,2023-05-21,252,N,VIIRS,n,2,288.76,1.92,N,3
41.65444,-8.02454,327.08,0.39,0.36,2023-05-22,232,N,VIIRS,n,2,281.35,1.61,N,0
41.65518,-8.02909,296.49,0.39,0.36,2023-05-22,232,N,VIIRS,n,2,280.62,1.61,N,0
39.14112,-9.20788,298.62,0.38,0.36,2023-05-22,233,N,VIIRS,n,2,266.9,0.23,N,0
39.68533,-8.90864,298.44,0.38,0.36,2023-05-22,233,N,VIIRS,n,2,283.08,0.95,N,2
40.28785,-8.42146,299.81,0.39,0.36,2023-05-22,233,N,VIIRS,n,2,283.54,0.67,N,0
38.92196,-9.01054,333.44,0.38,0.36,2023-05-23,1336,N,VIIRS,n,2,302.75,3.05,D,2
39.16049,-8.8648,334.74,0.39,0.36,2023-05-23,1336,N,VIIRS,n,2,296.61,2.62,D,0
39.16114,-8.86036,345.21,0.39,0.36,2023-05-23,1336,N,VIIRS,n,2,298.7,5.21,D,0
38.37782,-6.48231,295.03,0.39,0.44,2023-05-24,155,N,VIIRS,n,2,283.06,0.64,N,2
38.91928,-9.01213,300.84,0.53,0.5,2023-05-24,155,N,VIIRS,n,2,285.28,1.44,N,3
39.68486,-8.90636,297.95,0.53,0.5,2023-05-24,155,N,VIIRS,n,2,285.36,0.95,N,2
41.47638,-8.16333,307.8,0.56,0.69,2023-05-24,335,N,VIIRS,n,2,283.24,1.42,N,0
41.47831,-8.16945,297.66,0.56,0.69,2023-05-24,335,N,VIIRS,n,2,282.49,2.11,N,0
38.92323,-9.01001,297.4,0.48,0.64,2023-05-25,136,N,VIIRS,n,2,285.45,1.01,N,2
37.17882,-6.89901,298.49,0.36,0.57,2023-05-25,137,N,VIIRS,n,2,288.32,1.09,N,0
37.36009,-6.67486,295.74,0.35,0.56,2023-05-25,137,N,VIIRS,n,2,285.04,0.24,N,0
39.68351,-8.90681,295.57,0.34,0.56,2023-05-25,316,N,VIIRS,n,2,285.21,0.75,N,2
40.29062,-8.41973,297.06,0.34,0.56,2023-05-25,316,N,VIIRS,n,2,285.34,0.57,N,2
38.91961,-9.0105,309.84,0.35,0.57,2023-05-25,317,N,VIIRS,n,2,287.71,2.77,N,3
38.07476,-7.56525,335.84,0.46,0.47,2023-05-25,1258,N,VIIRS,n,2,302.58,4.78,D,0
39.18037,-8.97398,333.82,0.65,0.73,2023-05-25,1439,N,VIIRS,n,2,291.49,5.34,D,0
39.18048,-8.96604,329.95,0.65,0.73,2023-05-25,1439,N,VIIRS,n,2,291.56,5.34,D,0
40.89837,-8.61814,330.93,0.69,0.74,2023-05-25,1439,N,VIIRS,n,2,291.6,5.34,D,0
41.96035,-8.68203,327.98,0.69,0.74,2023-05-25,1440,N,VIIRS,n,2,294.66,3.86,D,0
