latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.63117,-9.07584,302.43,0.52,0.42,2023-01-21,250,N20,VIIRS,n,2,284.2,0.99,N,2
37.33611,-6.51792,295.29,0.45,0.39,2023-01-22,231,N20,VIIRS,n,2,279.66,1.2,N,0
37.95591,-8.80223,295.47,0.39,0.36,2023-01-22,231,N20,VIIRS,n,2,284.09,1.02,N,2
38.50144,-8.93632,311.51,0.39,0.36,2023-01-22,231,N20,VIIRS,n,2,283.87,1.08,N,2
38.63038,-9.0775,296.92,0.39,0.36,2023-01-22,231,N20,VIIRS,n,2,284.05,0.44,N,2
37.98376,-8.81736,297.92,0.45,0.39,2023-01-23,212,N20,VIIRS,n,2,274.13,0.64,N,0
38.62996,-9.07829,300.26,0.47,0.4,2023-01-23,212,N20,VIIRS,n,2,280.3,0.89,N,2
41.25266,-8.5565,295.16,0.48,0.4,2023-01-23,212,N20,VIIRS,n,2,275.11,0.82,N,2
36.82369,-6.04225,338.42,0.42,0.38,2023-01-23,1333,N20,VIIRS,n,2,290.65,3.39,D,0
38.04338,-7.48292,332.55,0.4,0.37,2023-01-23,1334,N20,VIIRS,n,2,290.16,4.19,D,0
38.044,-7.4784,328.11,0.4,0.37,2023-01-23,1334,N20,VIIRS,n,2,287.06,4.19,D,0
41.56015,-6.45007,343.23,0.45,0.39,2023-01-23,1335,N20,VIIRS,n,2,281.41,7.85,D,0
38.50256,-8.93454,295.83,0.52,0.5,2023-01-24,153,N20,VIIRS,n,2,279.7,1.15,N,2
37.90554,-8.65337,329.84,0.47,0.4,2023-01-24,1315,N20,VIIRS,n,2,288.01,3.01,D,0
38.0458,-7.48393,334.6,0.43,0.38,2023-01-24,1315,N20,VIIRS,n,2,288.96,4.48,D,0
38.72737,-8.68397,326.83,0.46,0.39,2023-01-24,1315,N20,VIIRS,n,2,286.01,5.17,D,0
37.95557,-8.80532,296,0.46,0.64,2023-01-25,135,N20,VIIRS,n,2,277.42,1.47,N,2
40.97327,-8.08311,349.41,0.42,0.45,2023-01-25,1257,N20,VIIRS,n,2,292.67,25.35,D,0
41.30102,-7.91419,342.36,0.41,0.45,2023-01-25,1257,N20,VIIRS,n,2,277.2,15.05,D,0
