latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.18122,-6.89405,299.66,0.5,0.41,2023-10-18,238,N,VIIRS,n,2,286.54,1.01,N,0
38.50215,-8.9378,313.22,0.41,0.37,2023-10-18,238,N,VIIRS,n,2,289.89,2.21,N,2
38.92116,-9.01245,323.69,0.41,0.37,2023-10-18,238,N,VIIRS,n,2,289.68,2.66,N,2
38.50048,-8.9376,309.15,0.43,0.46,2023-10-20,200,N,VIIRS,n,2,286.87,1.54,N,2
38.62916,-9.07819,298.51,0.44,0.46,2023-10-20,200,N,VIIRS,n,2,286.28,0.48,N,2
38.92002,-9.00934,303.9,0.44,0.46,2023-10-20,200,N,VIIRS,n,2,288.08,1.27,N,3
37.14269,-8.21434,340.36,0.42,0.37,2023-10-20,1322,N,VIIRS,n,2,292.96,8.13,D,0
37.14349,-8.20971,357.03,0.42,0.37,2023-10-20,1322,N,VIIRS,l,2,296.05,9.15,D,0
37.14414,-8.21799,340.34,0.42,0.37,2023-10-20,1322,N,VIIRS,n,2,294.29,7.97,D,0
37.14495,-8.21337,353.83,0.42,0.37,2023-10-20,1322,N,VIIRS,n,2,298.2,7.97,D,0
37.14577,-8.20874,345.86,0.42,0.37,2023-10-20,1322,N,VIIRS,n,2,296.2,12.04,D,0
37.14688,-8.21063,357.01,0.42,0.37,2023-10-20,1322,N,VIIRS,l,2,295.34,9.15,D,0
37.14754,-8.21891,356.88,0.42,0.37,2023-10-20,1322,N,VIIRS,l,2,295.97,7.97,D,0
38.92319,-9.00954,295.43,0.39,0.59,2023-10-21,141,N,VIIRS,n,2,284.13,0.94,N,2
