latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.98051,-8.81313,301.71,0.55,0.43,2023-01-13,252,N,VIIRS,n,2,277.41,1.69,N,0
37.98174,-8.81869,327.48,0.55,0.42,2023-01-13,252,N,VIIRS,n,2,280.1,3.21,N,0
37.98176,-8.81922,315.03,0.55,0.42,2023-01-13,252,N,VIIRS,n,2,278.95,1.69,N,0
37.98461,-8.81965,340.51,0.56,0.69,2023-01-13,1233,N,VIIRS,n,2,271.1,5.28,D,0
38.63081,-9.07792,297.83,0.39,0.36,2023-01-14,233,N,VIIRS,n,2,279.1,0.58,N,2
38.34048,-6.53265,325.23,0.45,0.47,2023-01-14,1354,N,VIIRS,n,2,283.79,2.82,D,0
