latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.28882,-8.4207,298.71,0.52,0.67,2023-07-30,328,N20,VIIRS,n,2,287.49,0.7,N,2
38.52739,-8.83115,342.69,0.54,0.42,2023-07-30,1310,N20,VIIRS,n,2,309.78,5.63,D,0
38.52869,-8.83258,341.5,0.54,0.42,2023-07-30,1310,N20,VIIRS,n,2,310.28,2.96,D,0
42.28571,-7.85812,334.3,0.44,0.38,2023-07-30,1311,N20,VIIRS,l,2,307.6,2.1,D,0
41.87625,-8.79758,348.4,0.52,0.5,2023-07-31,309,N20,VIIRS,n,2,288.42,20.09,N,0
37.95873,-8.80304,304.85,0.33,0.55,2023-07-31,310,N20,VIIRS,n,2,292.84,1.23,N,2
37.33015,-8.33865,345.79,0.63,0.54,2023-07-31,1251,N20,VIIRS,n,2,309.25,8,D,0
37.33123,-8.33974,344.84,0.63,0.54,2023-07-31,1251,N20,VIIRS,n,2,308.97,8.08,D,0
39.86142,-8.91105,341.07,0.57,0.69,2023-07-31,1432,N20,VIIRS,n,2,297.8,3.65,D,0
39.86245,-8.91285,338.67,0.57,0.69,2023-07-31,1432,N20,VIIRS,n,2,297.51,3.71,D,0
40.77288,-8.44551,331.84,0.61,0.71,2023-07-31,1432,N20,VIIRS,n,2,296.15,4.94,D,0
41.18081,-7.89657,367,0.65,0.73,2023-07-31,1433,N20,VIIRS,h,2,301.92,25.38,D,0
37.10612,-7.71992,341.91,0.53,0.67,2023-08-01,1232,N20,VIIRS,n,2,301.97,4.8,D,0
37.1065,-7.72091,341.78,0.53,0.67,2023-08-01,1232,N20,VIIRS,n,2,301.88,4.51,D,0
37.31907,-6.89165,341.76,0.47,0.64,2023-08-01,1232,N20,VIIRS,l,2,312.3,5.06,D,0
37.31993,-6.89032,347.93,0.47,0.64,2023-08-01,1232,N20,VIIRS,n,2,312.27,5.87,D,0
37.32272,-6.90296,339.62,0.47,0.64,2023-08-01,1232,N20,VIIRS,l,2,313.12,3.87,D,0
37.32325,-6.89911,349.87,0.47,0.64,2023-08-01,1232,N20,VIIRS,n,2,313.02,5.69,D,0
37.32413,-6.89783,349.31,0.47,0.64,2023-08-01,1232,N20,VIIRS,n,2,313.57,3.87,D,0
37.32684,-6.77508,337.77,0.47,0.64,2023-08-01,1232,N20,VIIRS,l,2,311.56,4.22,D,0
37.32745,-6.90652,347.61,0.47,0.64,2023-08-01,1232,N20,VIIRS,n,2,315.45,8.46,D,0
37.32836,-6.90527,344.85,0.47,0.64,2023-08-01,1232,N20,VIIRS,l,2,316.06,3.87,D,0
37.32888,-6.90143,347.97,0.47,0.64,2023-08-01,1232,N20,VIIRS,n,2,316.56,5.69,D,0
38.93575,-6.34886,337.72,0.4,0.6,2023-08-01,1232,N20,VIIRS,l,2,309.2,3.18,D,0
38.93174,-6.34922,337.09,0.43,0.62,2023-08-01,1413,N20,VIIRS,l,2,310.45,2.89,D,0
38.50048,-8.93417,302.99,0.39,0.36,2023-08-02,232,N20,VIIRS,n,2,292.81,0.61,N,2
38.25226,-6.55482,337.62,0.75,0.77,2023-08-02,1214,N20,VIIRS,l,2,308.12,6.47,D,0
39.37023,-9.0504,316.36,0.47,0.4,2023-08-03,213,N20,VIIRS,n,2,288.35,1.63,N,0
39.68761,-8.90417,303.52,0.47,0.39,2023-08-03,213,N20,VIIRS,n,2,288.9,1.27,N,2
38.19277,-6.62656,303.49,0.39,0.36,2023-08-03,214,N20,VIIRS,n,2,291.04,0.41,N,0
38.50074,-8.93679,306.3,0.46,0.39,2023-08-03,214,N20,VIIRS,n,2,290.94,1.13,N,2
39.1726,-9.12562,330.95,0.39,0.36,2023-08-03,1335,N20,VIIRS,l,2,304.73,5.31,D,0
39.17325,-9.12121,345.01,0.39,0.36,2023-08-03,1335,N20,VIIRS,n,2,306.53,5.31,D,0
39.17654,-9.122,345.07,0.39,0.36,2023-08-03,1335,N20,VIIRS,n,2,307.93,5.31,D,0
40.14232,-8.81485,344.86,0.39,0.36,2023-08-03,1336,N20,VIIRS,n,2,304.76,3.55,D,0
40.14563,-8.81566,344.17,0.39,0.36,2023-08-03,1336,N20,VIIRS,n,2,306.33,3.55,D,0
41.09475,-7.23619,337.99,0.43,0.38,2023-08-03,1336,N20,VIIRS,n,2,310.73,2.66,D,0
41.09542,-7.23091,338.37,0.43,0.38,2023-08-03,1336,N20,VIIRS,n,2,308.58,3.29,D,0
41.10165,-7.2378,334.87,0.43,0.38,2023-08-03,1336,N20,VIIRS,l,2,307.1,6.76,D,0
41.10279,-7.24107,346.23,0.43,0.38,2023-08-03,1336,N20,VIIRS,n,2,315.02,14.33,D,0
41.1051,-7.23859,344.56,0.43,0.38,2023-08-03,1336,N20,VIIRS,n,2,311.82,6.76,D,0
