latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.68629,-8.90834,301.57,0.41,0.37,2023-09-08,238,N20,VIIRS,n,2,290.39,0.99,N,2
40.18943,-8.35002,303.64,0.41,0.37,2023-09-08,238,N20,VIIRS,n,2,288.28,0.36,N,0
40.19195,-8.34427,301.02,0.41,0.37,2023-09-08,238,N20,VIIRS,n,2,289.05,0.97,N,0
40.19283,-8.34916,305.8,0.41,0.37,2023-09-08,238,N20,VIIRS,n,2,288.87,0.72,N,0
40.19536,-8.36332,318.98,0.41,0.37,2023-09-08,238,N20,VIIRS,n,2,289.79,1.24,N,0
40.19871,-8.36222,302.08,0.41,0.37,2023-09-08,238,N20,VIIRS,n,2,288.97,1.24,N,0
40.68225,-6.44827,310.69,0.47,0.39,2023-09-08,238,N20,VIIRS,n,2,286.61,1.12,N,0
40.68579,-6.44708,314.75,0.47,0.39,2023-09-08,238,N20,VIIRS,n,2,288.58,1.12,N,0
41.23482,-7.98482,339.97,0.5,0.49,2023-09-08,1401,N20,VIIRS,n,2,288.82,13.15,D,0
41.23527,-7.97907,340.88,0.5,0.49,2023-09-08,1401,N20,VIIRS,n,2,283.15,12.17,D,0
41.23938,-7.98465,340.21,0.5,0.49,2023-09-08,1401,N20,VIIRS,n,2,283.31,8.63,D,0
40.68382,-6.44445,303.67,0.39,0.36,2023-09-09,219,N20,VIIRS,n,2,289.07,0.67,N,0
37.18269,-6.89387,301.21,0.38,0.36,2023-09-09,220,N20,VIIRS,n,2,289.33,1.06,N,0
38.50239,-8.93651,308.33,0.41,0.37,2023-09-09,220,N20,VIIRS,n,2,288.88,1.23,N,2
37.19666,-6.89372,302.46,0.49,0.4,2023-09-10,201,N20,VIIRS,n,2,289.99,0.22,N,0
37.95683,-8.79987,301.46,0.41,0.45,2023-09-10,201,N20,VIIRS,n,2,288.79,1.19,N,2
38.50087,-8.93525,303.25,0.42,0.45,2023-09-10,201,N20,VIIRS,n,2,281.45,1.23,N,2
38.63002,-9.07706,303.51,0.43,0.46,2023-09-10,201,N20,VIIRS,n,2,286.74,1.05,N,2
37.37964,-7.6938,331.2,0.4,0.37,2023-09-10,1322,N20,VIIRS,l,2,301.22,2.34,D,0
37.26802,-7.32503,339.94,0.39,0.44,2023-09-11,1303,N20,VIIRS,n,2,300.53,1.94,D,0
37.90286,-8.54003,332.55,0.43,0.46,2023-09-11,1303,N20,VIIRS,n,2,298,2.61,D,0
37.95528,-8.8062,298.57,0.68,0.74,2023-09-12,123,N20,VIIRS,n,2,286.12,1.29,N,0
38.50158,-8.9407,296.3,0.69,0.74,2023-09-12,123,N20,VIIRS,n,2,285.25,0.89,N,2
38.50206,-8.93828,297.24,0.69,0.74,2023-09-12,123,N20,VIIRS,n,2,285.28,0.93,N,2
38.92109,-9.01028,298.75,0.5,0.49,2023-09-12,303,N20,VIIRS,n,2,288.49,0.93,N,2
