latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.92266,-9.01185,305.33,0.58,0.52,2023-06-05,310,N,VIIRS,n,2,287.37,1.57,N,2
37.13523,-8.10295,296.96,0.36,0.57,2023-06-05,311,N,VIIRS,n,2,286.19,0.57,N,0
37.24341,-7.26644,299.39,0.39,0.6,2023-06-05,311,N,VIIRS,n,2,286.85,0.66,N,0
39.68703,-8.90777,298,0.5,0.41,2023-06-06,251,N,VIIRS,n,2,286.89,1.05,N,2
40.28986,-8.4224,297.02,0.51,0.41,2023-06-06,251,N,VIIRS,n,2,285.83,1.07,N,2
38.50126,-8.93493,296.24,0.53,0.42,2023-06-06,252,N,VIIRS,n,2,276.6,0.49,N,2
38.50255,-8.93397,295.57,0.53,0.42,2023-06-06,252,N,VIIRS,n,2,278.37,0.56,N,2
38.92107,-9.01025,307.9,0.51,0.41,2023-06-06,252,N,VIIRS,n,2,290.41,1.74,N,2
38.50875,-6.03635,367,0.4,0.6,2023-06-06,1233,N,VIIRS,h,2,307,7.95,D,0
38.37892,-6.48348,298.1,0.39,0.44,2023-06-09,155,N,VIIRS,n,2,285.56,0.56,N,2
